"Date","Open","High","Low","Close","Volume"
"7/14/2010","389","392.350006","385.125","387.325012","2833842"
"7/15/2010","385.5","392.450012","382.625","391.049988","3795536"
"7/16/2010","397.5","419.25","397.5","416.825012","19135452"
"7/19/2010","415.725006","417.350006","411.625","413.350006","3027924"
"7/20/2010","413.350006","417.274994","412.5","413.625","2342062"
"7/21/2010","416","422.399994","414.799988","421.5","2943720"
"7/22/2010","421.5","423","416.25","421.850006","1362882"
"7/23/2010","425","425","417.549988","419.649994","1894472"
"7/26/2010","421.200012","425.799988","420.200012","424.625","2766490"
"7/27/2010","427.5","429.899994","423.100006","424.575012","2106602"
"7/28/2010","425.5","428.975006","423.5","427.225006","4359228"
"7/29/2010","427.5","427.5","424.5","425","5331904"
"7/30/2010","424.5","425","417.5","419.899994","1283426"
"8/2/2010","421.5","424.225006","418.5","419.149994","2827762"
"8/3/2010","420.5","422.25","414.274994","416.024994","1281552"
"8/4/2010","418","436","417.924988","434.399994","5583934"
"8/5/2010","436","441.200012","432.825012","438.924988","2912950"
"8/6/2010","440","441.75","430.325012","432.350006","2437734"
"8/9/2010","430.575012","441.850006","423.049988","439.924988","4259986"
"8/10/2010","442.5","442.5","430.700012","432.25","1545194"
"8/11/2010","431","436.5","427.399994","429.075012","4020248"
"8/12/2010","428.450012","428.450012","423.100006","426.725006","2278092"
"8/13/2010","428.5","431.450012","419","427.200012","2589906"
"8/16/2010","428.5","431.274994","424.399994","427.049988","1319098"
"8/17/2010","425.049988","430.5","422","425.100006","1733196"
"8/18/2010","426.5","437.899994","425","435.549988","2888916"
"8/19/2010","437","440.450012","433.649994","436.024994","2148534"
"8/20/2010","434.5","439.950012","431.5","434.475006","1746396"
"8/23/2010","430","437.725006","428.524994","435.200012","1049830"
"8/24/2010","435","440.950012","432.5","435.350006","2650474"
"8/25/2010","436","440.75","433.149994","435.600006","2379968"
"8/26/2010","437","439.5","430.125","438.25","4204428"
"8/27/2010","436.049988","436.5","425.5","428.024994","1276514"
"8/30/2010","431.399994","431.399994","420.049988","422.825012","1558570"
"8/31/2010","420","423.850006","415.100006","421.875","2447874"
"9/1/2010","421","430.5","420","429.200012","2745484"
"9/2/2010","433.75","433.75","420.75","422.049988","2758800"
"9/3/2010","425","425.75","417.549988","418.649994","2777970"
"9/6/2010","419","428.75","419","427.674988","2287978"
"9/7/2010","429","437.450012","428","435.674988","2484236"
"9/8/2010","432","441.450012","429.450012","439.524994","4189478"
"9/9/2010","441","441.25","435.674988","437.350006","2938158"
"9/13/2010","435.674988","444.5","435.350006","439.875","2349410"
"9/14/2010","441.5","449.5","440.149994","447.674988","3071038"
"9/15/2010","450","459.700012","449.5","457.399994","5560394"
"9/16/2010","454","456.725006","432.25","447.700012","2334264"
"9/17/2010","450.049988","459.375","450.049988","456.899994","3007978"
"9/20/2010","458.5","460.950012","453.350006","456.125","2419108"
"9/21/2010","456","479","455.149994","476.975006","4997184"
"9/22/2010","478","480","465","467.625","4031066"
"9/23/2010","470","472.649994","463.899994","465.674988","3327236"
"9/24/2010","466.549988","468.950012","462.5","465.975006","2738784"
"9/27/2010","467.5","470.725006","461","463.799988","3423290"
"9/28/2010","462.625","465.149994","457.049988","459.825012","2521714"
"9/29/2010","462.5","468.625","457.450012","460.174988","3370194"
"9/30/2010","462.5","465","457.575012","463.475006","7560924"
"10/1/2010","463.5","483","461","480.799988","3326156"
"10/4/2010","483.375","487.5","476.5","477.899994","2140956"
"10/5/2010","475","482.975006","473.075012","475.125","2211664"
"10/6/2010","475","483.950012","475","479.825012","1838960"
"10/7/2010","480","483","469.200012","474.399994","1972940"
"10/8/2010","472.024994","477.350006","434.5","471.299988","2695996"
"10/11/2010","471.299988","476.975006","464.524994","470.450012","3065370"
"10/12/2010","471.325012","477.899994","469.549988","475.350006","2608902"
"10/13/2010","477.975006","498.850006","474.549988","496.424988","5350604"
"10/14/2010","498.450012","502","491.174988","493.024994","2949086"
"10/15/2010","499.5","505.5","472.5","475.149994","5717798"
"10/18/2010","485","492","465","490.625","4480734"
"10/19/2010","491","493.700012","482.049988","483.875","2200912"
"10/20/2010","482.25","490.25","478.100006","481.625","2206638"
"10/21/2010","487.024994","496.924988","485","493.100006","3752354"
"10/22/2010","511","524.700012","511","520.099976","9610404"
"10/25/2010","521.5","536.474976","518.599976","533.474976","5156316"
"10/26/2010","531.75","533.875","520.775024","531.299988","3507024"
"10/27/2010","530","533.400024","521.775024","524.099976","2141382"
"10/28/2010","525","533.775024","520","526.450012","5255690"
"10/29/2010","530","530","515.5","526.450012","2212398"
"11/1/2010","526.025024","533.200012","524.549988","526.700012","1147948"
"11/2/2010","527.5","530","521.849976","524.724976","1565778"
"11/3/2010","525.450012","539.5","524.200012","526.400024","2217878"
"11/4/2010","531","539.299988","530.75","534.575012","1717440"
"11/8/2010","540","541.200012","531.049988","534.075012","2248586"
"11/9/2010","536.950012","549.349976","534.25","545.549988","3504086"
"11/10/2010","546.125","554","543.049988","546.150024","1540224"
"11/11/2010","545","545","529.125","532.375","1926096"
"11/12/2010","530","534.950012","524.099976","527.950012","1802330"
"11/15/2010","532.5","539.924988","526.5","533","1389396"
"11/16/2010","533","533.200012","521.099976","524.450012","2178076"
"11/18/2010","536","536","520","521.400024","2765160"
"11/19/2010","522.450012","524.5","503","507.700012","2172652"
"11/22/2010","508","521.5","505.75","519.549988","2221236"
"11/23/2010","517","522.5","506.200012","515.025024","1684448"
"11/24/2010","512.5","517.25","499.475006","502.375","3008608"
"11/25/2010","505.024994","520.950012","503.549988","510.899994","5855006"
"11/26/2010","512.5","527","512.5","523.625","3617826"
"11/29/2010","527.5","539.25","525.125","535.650024","4518892"
"11/30/2010","530.25","543.025024","526.549988","538","4808408"
"12/1/2010","532","546.599976","532","540.950012","3776032"
"12/2/2010","545.5","549.599976","537.525024","547.900024","4095716"
"12/3/2010","546.525024","556.5","545.575012","548.674988","2030112"
"12/6/2010","550","555","547.650024","550.849976","1930954"
"12/7/2010","550","550","541.049988","543.75","2158324"
"12/8/2010","545.474976","546.474976","535.625","539.575012","1984132"
"12/9/2010","541.849976","548.650024","534.049988","536.299988","2579902"
"12/10/2010","533.5","541.924988","528.5","537.450012","2245624"
"12/13/2010","535.5","540.349976","524.200012","538.049988","2115066"
"12/14/2010","536.599976","544.799988","532.075012","540.474976","2615340"
"12/15/2010","542.549988","554.200012","540.75","551.825012","2572034"
"12/16/2010","554.5","572","552.075012","570.349976","4515704"
"12/20/2010","567.400024","588.5","557.424988","583.349976","4514046"
"12/21/2010","584.5","586.125","577","580.400024","2810642"
"12/22/2010","583.5","584.5","568.875","574.875","3186836"
"12/23/2010","575","579.775024","566.049988","570","2850924"
"12/24/2010","567","574.400024","562.875","570.549988","1624640"
"12/27/2010","572.5","579.724976","569.099976","570.599976","1664936"
"12/28/2010","570.599976","575.450012","570.025024","573.174988","1012876"
"12/29/2010","574.5","581","573.525024","578.474976","1042370"
"12/30/2010","576.25","587.400024","576.25","585.099976","3845552"
"12/31/2010","586.25","590","580.900024","582.825012","1532980"
"1/3/2011","583.5","588.474976","577.275024","579.025024","1405042"
